root_id,cell_type,side,nt
158596,PFNp_b,left,acetylcholine
158958,PFNp_d,right,acetylcholine
159635,PFNp_c,left,acetylcholine
159766,PFNp_a,right,acetylcholine
159950,PFNp_a,right,acetylcholine
160445,PFNp_a,right,acetylcholine
160503,PFNp_a,left,acetylcholine
160829,PFNp_b,left,acetylcholine
161028,PFNp_a,right,acetylcholine
162006,PFNp_a,right,acetylcholine
162170,PFNp_d,right,acetylcholine
162458,PFNp_b,right,acetylcholine
162861,PFNp_b,right,acetylcholine
162882,PFNp_b,left,acetylcholine
162917,PFNp_b,left,acetylcholine
163253,PFNp_a,left,acetylcholine
163633,PFNp_b,right,acetylcholine
163748,PFNp_a,right,acetylcholine
163832,PFNm_b,right,acetylcholine
164057,PFNp_b,right,acetylcholine
164158,PFNp_b,right,acetylcholine
164224,PFNm_a,left,acetylcholine
164248,PFNp_b,left,acetylcholine
164318,PFNp_a,left,acetylcholine
164808,PFNp_a,right,acetylcholine
165145,PFNp_b,right,acetylcholine
165700,PFNp_b,right,acetylcholine
165774,PFNp_b,left,acetylcholine
166071,PFNp_b,left,acetylcholine
166236,PFNp_a,left,acetylcholine
166595,PFNp_b,right,acetylcholine
166767,PFNp_a,right,acetylcholine
166794,PFNp_a,left,acetylcholine
166967,PFNp_d,right,acetylcholine
167339,PFNp_b,left,acetylcholine
167394,PFNp_b,left,acetylcholine
167712,PFNp_b,right,acetylcholine
167799,PFNp_b,right,acetylcholine
167931,PFNp_d,left,acetylcholine
168043,PFNp_b,left,acetylcholine
169143,PFNp_b,right,acetylcholine
169158,PFNp_d,left,acetylcholine
169192,PFNp_b,left,acetylcholine
169272,PFNp_b,left,acetylcholine
169667,PFNm_b,left,acetylcholine
170246,PFNp_b,left,acetylcholine
170385,PFNp_e,right,acetylcholine
170528,PFNp_b,left,acetylcholine
170865,PFNp_a,right,acetylcholine
171142,PFNp_b,left,acetylcholine
171324,PFNp_b,left,acetylcholine
171804,PFNp_a,right,acetylcholine
171862,PFNp_a,right,acetylcholine
172508,PFNp_b,left,acetylcholine
172829,PFNp_b,right,acetylcholine
173055,PFNm_a,left,acetylcholine
173257,PFNp_d,right,acetylcholine
173565,PFNp_a,right,acetylcholine
173672,PFNp_b,right,acetylcholine
173868,PFNp_a,right,acetylcholine
174511,PFNp_e,right,acetylcholine
174569,PFNp_b,right,acetylcholine
174789,PFNp_b,right,acetylcholine
175200,PFNp_a,right,acetylcholine
175309,PFNp_b,left,acetylcholine
175680,PFNp_b,left,acetylcholine
175842,PFNp_a,left,acetylcholine
176343,PFNp_b,left,acetylcholine
176645,PFNp_d,right,acetylcholine
177153,PFNm_b,left,acetylcholine
177548,PFNp_b,right,acetylcholine
177642,PFNp_a,right,acetylcholine
177717,PFNp_a,right,acetylcholine
177762,PFNm_a,left,acetylcholine
177962,PFNp_b,left,acetylcholine
178092,PFNp_b,left,acetylcholine
178115,PFNp_b,left,acetylcholine
178181,PFNp_b,right,acetylcholine
178346,PFNp_b,right,acetylcholine
178839,PFNp_a,right,acetylcholine
179090,PFNp_d,left,acetylcholine
179200,PFNp_b,right,acetylcholine
179308,PFNp_d,left,acetylcholine
179771,PFNp_b,right,acetylcholine
180020,PFNp_b,right,acetylcholine
180075,PFNp_b,left,acetylcholine
180461,PFNp_b,left,acetylcholine
181149,PFNp_a,left,acetylcholine
181511,PFNp_a,left,acetylcholine
