root_id,cell_type,side,nt
720575940625390153,Delta7,left,glutamate
720575940625407107,PEN_a(PEN1),left,acetylcholine
720575940625413763,PFNp,left,acetylcholine
720575940625415813,PEN_b(PEN2),right,acetylcholine
720575940625424642,PFNp,right,acetylcholine
720575940625453145,PFNm,left,acetylcholine
720575940625464328,ER3d,right,gaba
720575940625470266,PFNp,left,acetylcholine
720575940625506027,ER3d,right,gaba
720575940625508500,Delta7,left,glutamate
720575940625511762,ER4d,right,gaba
720575940625516830,ER4d,left,gaba
720575940625528638,PEG,left,acetylcholine
720575940625537301,PFNm,right,acetylcholine
720575940625541434,PFNd,left,acetylcholine
720575940625653223,ExR2_1,right,dopamine
720575940625659028,ER2,right,gaba
720575940625671441,ER3w,left,gaba
720575940625748753,PFNp,left,acetylcholine
720575940625790778,PEG,right,acetylcholine
720575940625821017,PFNa,right,acetylcholine
720575940625829192,ER5,right,gaba
720575940625864360,ER3w,left,gaba
720575940625871949,ER2,left,gaba
720575940625880472,PFR,right,dopamine
720575940625902823,PFGs,right,serotonin
720575940625929971,ExR4,right,acetylcholine
720575940625932275,PFR,left,serotonin
720575940625951321,PFNm,right,acetylcholine
720575940625968792,PFGs,right,dopamine
720575940626099343,PFL1,right,acetylcholine
720575940626119240,PFNp,right,dopamine
720575940626137895,EPG,left,acetylcholine
720575940626194428,PEN_a(PEN1),left,acetylcholine
720575940626237726,PFNp,right,acetylcholine
720575940626243965,ER2,right,gaba
720575940626261480,ER3w,left,gaba
720575940626291998,"ER3a_a,ER3a_d",right,gaba
720575940626306321,PEN_b(PEN2),right,serotonin
720575940626315207,EPG,left,acetylcholine
720575940626315975,ER1,right,gaba
720575940626329841,ER1,right,gaba
720575940626336381,ER1,right,gaba
720575940626363654,ER3w,right,gaba
720575940626407820,PEN_b(PEN2),right,acetylcholine
720575940626421578,ER3w,right,gaba
720575940626449082,EPG,right,acetylcholine
720575940626456083,ER4d,left,gaba
720575940626458897,ER2,left,gaba
720575940626469909,PEN_a(PEN1),left,acetylcholine
720575940626471957,PFL1,right,acetylcholine
720575940626493461,PFNp,right,acetylcholine
720575940626534986,PFNm,right,acetylcholine
720575940626535189,PFNa,left,acetylcholine
720575940626579185,PFNm,left,acetylcholine
720575940626610960,ER5,right,gaba
720575940626637128,LNO1,right,gaba
720575940626692039,PFNv,right,acetylcholine
720575940626721835,EPG,right,acetylcholine
720575940626749545,PFNp,left,acetylcholine
720575940626759656,PFNp,right,acetylcholine
720575940626763688,PFL2,left,acetylcholine
720575940626781522,PFNa,left,acetylcholine
720575940626794257,IbSpsP,left,acetylcholine
720575940626824015,PEG,right,acetylcholine
720575940626827024,ER3d,right,gaba
720575940626856041,PFNp,left,acetylcholine
720575940626887171,ER3m,left,gaba
720575940626894588,PFNm,right,acetylcholine
720575940626897148,PFNp,left,acetylcholine
720575940626947331,PFNp,right,acetylcholine
720575940626964240,PFNa,left,acetylcholine
720575940626998769,IbSpsP,right,acetylcholine
720575940627029254,PFNp,right,acetylcholine
720575940627033875,PFGs,left,glutamate
720575940627048847,ExR8,right,acetylcholine
720575940627067654,PFNa,left,acetylcholine
720575940627119089,PFNp,left,acetylcholine
720575940627121168,PFNp,right,acetylcholine
720575940627128216,ER3m,left,gaba
720575940627129786,"ER3a_a,ER3a_d",left,gaba
720575940627137009,PFNp,left,acetylcholine
720575940627140551,EPG,right,acetylcholine
720575940627161700,ER3d,right,gaba
720575940627264062,ExR3,right,dopamine
720575940627296652,PFNp,left,acetylcholine
720575940627299227,ER3p_b,right,gaba
720575940627299483,ER3p_b,right,gaba
720575940627305100,PFNp,left,acetylcholine
720575940627317252,Delta7,left,glutamate
720575940627321755,PEG,left,acetylcholine
720575940627385031,PFNd,right,acetylcholine
720575940627400776,PFR,left,glutamate
720575940627418750,PFNa,left,acetylcholine
720575940627499520,ER2,left,gaba
720575940627523102,IbSpsP,left,acetylcholine
720575940627615610,PFNp,left,acetylcholine
720575940627648299,PFNp,right,acetylcholine
720575940627653114,PEN_b(PEN2),right,acetylcholine
720575940627667984,PFNp,left,acetylcholine
720575940627701609,ER3d,left,gaba
720575940627730206,PFGs,right,dopamine
720575940627877114,ER3w,left,gaba
720575940627890072,ER4d,right,gaba
720575940627913436,PEG,left,acetylcholine
